contract_type,symbol,description,strike,expiration_date,mark,bid,bid_size,ask,ask_size,last,last_size,open_interest,total_volume,delta,gamma,theta,vega,rho,volatility,theoretical_volatility,theoretical_option_value,intrinsic_value,extrinsic_value,underlying_price
CALL,SPXW  260406C02600000,SPXW 04/06/2026 2600.00 C,2600.0,2026-04-06,3721.3,3711.1,1,3731.5,1,0.0,0,0,0,1.0,0.0,0.04,0.002,0.5,173.315,29.0,3719.264,3718.89,-3718.89,6318.89
CALL,SPXW  260406C02800000,SPXW 04/06/2026 2800.00 C,2800.0,2026-04-06,3520.05,3509.8,2,3530.3,1,0.0,0,0,0,1.0,0.0,0.04,0.003,0.539,159.257,29.0,3519.305,3518.89,-3518.89,6318.89
CALL,SPXW  260406C03000000,SPXW 04/06/2026 3000.00 C,3000.0,2026-04-06,3322.6,3314.8,1,3330.4,1,0.0,0,0,0,1.0,0.0,0.022,0.005,0.577,152.765,29.0,3319.332,3318.89,-3318.89,6318.89
CALL,SPXW  260406C03200000,SPXW 04/06/2026 3200.00 C,3200.0,2026-04-06,3123.15,3114.3,1,3132.0,1,0.0,0,0,0,1.0,0.0,0.039,0.003,0.616,133.994,29.0,3119.308,3118.89,-3118.89,6318.89
CALL,SPXW  260406C03400000,SPXW 04/06/2026 3400.00 C,3400.0,2026-04-06,2921.35,2911.9,1,2930.8,1,0.0,0,0,0,1.0,0.0,0.022,0.006,0.654,128.108,29.0,2919.295,2918.89,-2918.89,6318.89
CALL,SPXW  260406C03600000,SPXW 04/06/2026 3600.00 C,3600.0,2026-04-06,2721.75,2712.6,1,2730.9,1,0.0,0,0,0,1.0,0.0,0.006,0.009,0.693,120.168,29.0,2719.321,2718.89,-2718.89,6318.89
CALL,SPXW  260406C03800000,SPXW 04/06/2026 3800.00 C,3800.0,2026-04-06,2522.85,2514.6,1,2531.1,1,0.0,0,0,0,1.0,0.0,-0.01,0.012,0.731,111.478,29.0,2519.388,2518.89,-2518.89,6318.89
CALL,SPXW  260406C04000000,SPXW 04/06/2026 4000.00 C,4000.0,2026-04-06,2322.55,2312.4,1,2332.7,1,2619.88,1,1,0,0.999,0.0,-0.025,0.016,0.769,102.543,29.0,2319.414,2318.89,300.99,6318.89
CALL,SPXW  260406C04200000,SPXW 04/06/2026 4200.00 C,4200.0,2026-04-06,2122.1,2112.8,1,2131.4,1,0.0,0,0,0,0.999,0.0,-0.054,0.023,0.808,94.72,29.0,2119.425,2118.89,-2118.89,6318.89
CALL,SPXW  260406C04400000,SPXW 04/06/2026 4400.00 C,4400.0,2026-04-06,1923.25,1914.6,1,1931.9,1,0.0,0,0,0,0.999,0.0,-0.11,0.036,0.846,87.918,29.0,1919.527,1918.89,-1918.89,6318.89
CALL,SPXW  260406C04600000,SPXW 04/06/2026 4600.00 C,4600.0,2026-04-06,1723.25,1714.5,1,1732.0,1,0.0,0,0,0,0.998,0.0,-0.176,0.053,0.883,80.575,29.0,1719.693,1718.89,-1718.89,6318.89
CALL,SPXW  260406C04800000,SPXW 04/06/2026 4800.00 C,4800.0,2026-04-06,1524.45,1516.6,1,1532.3,1,1572.5,27,107,0,0.997,0.0,-0.249,0.075,0.921,72.829,29.0,1519.804,1518.89,53.61,6318.89
CALL,SPXW  260406C05000000,SPXW 04/06/2026 5000.00 C,5000.0,2026-04-06,1325.0,1317.3,1,1332.7,1,0.0,0,0,0,0.996,0.0,-0.364,0.112,0.957,65.453,29.0,1320.056,1318.89,-1318.89,6318.89
CALL,SPXW  260406C05100000,SPXW 04/06/2026 5100.00 C,5100.0,2026-04-06,1225.4,1216.4,1,1234.4,1,0.0,0,0,0,0.994,0.0,-0.44,0.138,0.975,61.797,29.0,1220.271,1218.89,-1218.89,6318.89
CALL,SPXW  260406C05200000,SPXW 04/06/2026 5200.00 C,5200.0,2026-04-06,1123.1,1113.1,1,1133.1,1,1617.36,1,1,0,0.993,0.0,-0.523,0.169,0.993,58.015,29.0,1120.432,1118.89,498.47,6318.89
CALL,SPXW  260406C05300000,SPXW 04/06/2026 5300.00 C,5300.0,2026-04-06,1025.35,1017.0,1,1033.7,1,0.0,0,0,0,0.991,0.0,-0.641,0.213,1.009,54.463,29.0,1020.773,1018.89,-1018.89,6318.89
CALL,SPXW  260406C05400000,SPXW 04/06/2026 5400.00 C,5400.0,2026-04-06,925.7,917.4,1,934.0,1,0.0,0,0,0,0.988,0.0,-0.77,0.267,1.025,50.728,29.0,921.124,918.89,-918.89,6318.89
CALL,SPXW  260406C05500000,SPXW 04/06/2026 5500.00 C,5500.0,2026-04-06,825.15,815.9,1,834.4,1,0.0,0,0,0,0.985,0.0,-0.923,0.336,1.04,46.948,29.0,821.534,818.89,-818.89,6318.89
CALL,SPXW  260406C05525000,SPXW 04/06/2026 5525.00 C,5525.0,2026-04-06,799.6,789.3,3,809.9,1,0.0,0,0,0,0.984,0.0,-0.964,0.356,1.043,45.975,29.0,796.659,793.89,-793.89,6318.89
CALL,SPXW  260406C05550000,SPXW 04/06/2026 5550.00 C,5550.0,2026-04-06,777.05,769.0,1,785.1,1,0.0,0,0,0,0.983,0.0,-1.003,0.377,1.047,44.977,29.0,771.785,768.89,-768.89,6318.89
CALL,SPXW  260406C05575000,SPXW 04/06/2026 5575.00 C,5575.0,2026-04-06,751.65,743.3,1,760.0,1,0.0,0,0,0,0.981,0.0,-1.05,0.4,1.05,44.016,29.0,746.935,743.89,-743.89,6318.89
CALL,SPXW  260406C05600000,SPXW 04/06/2026 5600.00 C,5600.0,2026-04-06,728.1,719.4,1,736.8,3,0.0,0,0,0,0.98,0.0,-1.104,0.427,1.053,43.086,29.0,722.15,718.89,-718.89,6318.89
CALL,SPXW  260406C05625000,SPXW 04/06/2026 5625.00 C,5625.0,2026-04-06,702.8,693.6,1,712.0,3,0.0,0,0,0,0.978,0.0,-1.156,0.454,1.056,42.119,29.0,697.325,693.89,-693.89,6318.89
CALL,SPXW  260406C05650000,SPXW 04/06/2026 5650.00 C,5650.0,2026-04-06,676.1,666.6,1,685.6,1,0.0,0,0,0,0.977,0.0,-1.206,0.482,1.059,41.116,29.0,672.458,668.89,-668.89,6318.89
CALL,SPXW  260406C05675000,SPXW 04/06/2026 5675.00 C,5675.0,2026-04-06,652.2,642.0,1,662.4,1,0.0,0,0,0,0.975,0.0,-1.263,0.514,1.061,40.136,29.0,647.66,643.89,-643.89,6318.89
CALL,SPXW  260406C05700000,SPXW 04/06/2026 5700.00 C,5700.0,2026-04-06,626.65,617.2,1,636.1,1,0.0,0,0,0,0.973,0.0,-1.317,0.546,1.064,39.123,29.0,622.9,618.89,-618.89,6318.89
CALL,SPXW  260406C05725000,SPXW 04/06/2026 5725.00 C,5725.0,2026-04-06,602.6,592.3,2,612.9,1,0.0,0,0,0,0.97,0.0,-1.399,0.589,1.066,38.245,29.0,598.161,593.89,-593.89,6318.89
CALL,SPXW  260406C05750000,SPXW 04/06/2026 5750.00 C,5750.0,2026-04-06,577.85,567.6,1,588.1,1,0.0,0,0,0,0.968,0.0,-1.478,0.633,1.067,37.318,29.0,573.501,568.89,-568.89,6318.89
CALL,SPXW  260406C05775000,SPXW 04/06/2026 5775.00 C,5775.0,2026-04-06,553.35,543.2,1,563.5,1,0.0,0,0,0,0.965,0.0,-1.553,0.678,1.068,36.341,29.0,548.801,543.89,-543.89,6318.89
CALL,SPXW  260406C05800000,SPXW 04/06/2026 5800.00 C,5800.0,2026-04-06,529.65,520.4,1,538.9,1,0.0,0,0,0,0.961,0.0,-1.652,0.733,1.069,35.454,29.0,524.161,518.89,-518.89,6318.89
CALL,SPXW  260406C05825000,SPXW 04/06/2026 5825.00 C,5825.0,2026-04-06,504.1,493.8,1,514.4,1,0.0,0,0,0,0.957,0.0,-1.772,0.799,1.068,34.635,29.0,499.661,493.89,-493.89,6318.89
CALL,SPXW  260406C05850000,SPXW 04/06/2026 5850.00 C,5850.0,2026-04-06,481.5,473.1,1,489.9,1,0.0,0,0,0,0.952,0.0,-1.911,0.873,1.067,33.857,29.0,475.261,468.89,-468.89,6318.89
CALL,SPXW  260406C05875000,SPXW 04/06/2026 5875.00 C,5875.0,2026-04-06,454.7,445.3,1,464.1,1,0.0,0,0,0,0.947,0.0,-2.04,0.949,1.065,32.994,29.0,450.861,443.89,-443.89,6318.89
CALL,SPXW  260406C05900000,SPXW 04/06/2026 5900.00 C,5900.0,2026-04-06,432.45,423.4,1,441.5,3,535.63,1,1,1,0.94,0.0,-2.208,1.041,1.062,32.249,29.0,426.701,418.89,116.74,6318.89
CALL,SPXW  260406C05925000,SPXW 04/06/2026 5925.00 C,5925.0,2026-04-06,407.1,396.7,1,417.5,3,456.8,1,1,0,0.932,0.0,-2.397,1.145,1.057,31.534,29.0,402.652,393.89,62.91,6318.89
CALL,SPXW  260406C05950000,SPXW 04/06/2026 5950.00 C,5950.0,2026-04-06,384.9,376.2,1,393.6,1,0.0,0,0,0,0.923,0.001,-2.611,1.263,1.05,30.863,29.0,378.762,368.89,-368.89,6318.89
CALL,SPXW  260406C05975000,SPXW 04/06/2026 5975.00 C,5975.0,2026-04-06,359.7,349.4,1,370.0,1,0.0,0,0,0,0.912,0.001,-2.854,1.396,1.042,30.249,29.0,355.162,343.89,-343.89,6318.89
CALL,SPXW  260406C05990000,SPXW 04/06/2026 5990.00 C,5990.0,2026-04-06,346.95,338.0,1,355.9,1,0.0,0,0,0,0.905,0.001,-3.009,1.481,1.036,29.887,29.0,341.152,328.89,-328.89,6318.89
CALL,SPXW  260406C06000000,SPXW 04/06/2026 6000.00 C,6000.0,2026-04-06,337.45,328.7,1,346.2,1,0.0,0,0,0,0.9,0.001,-3.118,1.541,1.031,29.654,29.0,331.813,318.89,-318.89,6318.89
CALL,SPXW  260406C06010000,SPXW 04/06/2026 6010.00 C,6010.0,2026-04-06,328.3,319.4,2,337.2,1,397.46,1,0,1,0.894,0.001,-3.231,1.603,1.026,29.431,29.0,322.603,308.89,88.57,6318.89
CALL,SPXW  260406C06020000,SPXW 04/06/2026 6020.00 C,6020.0,2026-04-06,319.1,310.2,1,328.0,1,0.0,0,0,0,0.888,0.001,-3.347,1.667,1.02,29.205,29.0,313.363,298.89,-298.89,6318.89
CALL,SPXW  260406C06025000,SPXW 04/06/2026 6025.00 C,6025.0,2026-04-06,314.6,305.6,1,323.6,1,0.0,0,0,0,0.885,0.001,-3.42,1.704,1.017,29.141,29.0,308.863,293.89,-293.89,6318.89
CALL,SPXW  260406C06030000,SPXW 04/06/2026 6030.00 C,6030.0,2026-04-06,309.7,300.5,1,318.9,1,0.0,0,0,0,0.882,0.001,-3.474,1.735,1.014,29.011,29.0,304.263,288.89,-288.89,6318.89
CALL,SPXW  260406C06040000,SPXW 04/06/2026 6040.00 C,6040.0,2026-04-06,301.0,292.0,1,310.0,1,0.0,0,0,0,0.875,0.001,-3.61,1.807,1.007,28.845,29.0,295.303,278.89,-278.89,6318.89
CALL,SPXW  260406C06050000,SPXW 04/06/2026 6050.00 C,6050.0,2026-04-06,292.0,282.9,1,301.1,2,339.2,3,3,0,0.868,0.001,-3.737,1.877,1.001,28.64,29.0,286.263,268.89,70.31,6318.89
CALL,SPXW  260406C06060000,SPXW 04/06/2026 6060.00 C,6060.0,2026-04-06,283.0,273.8,1,292.2,1,0.0,0,0,0,0.86,0.001,-3.872,1.951,0.993,28.46,29.0,277.403,258.89,-258.89,6318.89
CALL,SPXW  260406C06070000,SPXW 04/06/2026 6070.00 C,6070.0,2026-04-06,273.95,264.9,2,283.0,1,0.0,0,0,0,0.852,0.001,-4.013,2.027,0.985,28.291,29.0,268.563,248.89,-248.89,6318.89
CALL,SPXW  260406C06075000,SPXW 04/06/2026 6075.00 C,6075.0,2026-04-06,269.5,260.5,1,278.5,1,328.95,2,2,0,0.848,0.001,-4.079,2.064,0.981,28.195,29.0,264.163,243.89,85.06,6318.89
